@RELATION test

@ATTRIBUTE 1	 REAL
@ATTRIBUTE 2	 REAL
@ATTRIBUTE 3	 REAL
@ATTRIBUTE 4	 REAL
@ATTRIBUTE 5	 REAL
@ATTRIBUTE 6	 REAL
@ATTRIBUTE 7	 REAL
@ATTRIBUTE 8	 REAL
@ATTRIBUTE 9	 REAL
@ATTRIBUTE 10	 REAL
@ATTRIBUTE 11	 REAL
@ATTRIBUTE 12	 REAL
@ATTRIBUTE 13	 REAL
@ATTRIBUTE 14	 REAL
@ATTRIBUTE 15	 REAL
@ATTRIBUTE 16	 REAL
@ATTRIBUTE 17	 REAL
@ATTRIBUTE 18	 REAL
@ATTRIBUTE 19	 REAL
@ATTRIBUTE 20	 REAL
@ATTRIBUTE 21	 REAL
@ATTRIBUTE 22	 REAL
@ATTRIBUTE 23	 REAL
@ATTRIBUTE 24	 REAL
@ATTRIBUTE 25	 REAL
@ATTRIBUTE 26	 REAL
@ATTRIBUTE 27	 REAL
@ATTRIBUTE 28	 REAL
@ATTRIBUTE 29	 REAL
@ATTRIBUTE 30	 REAL
@ATTRIBUTE 31	 REAL
@ATTRIBUTE 32	 REAL
@ATTRIBUTE 33	 REAL
@ATTRIBUTE 34	 REAL
@ATTRIBUTE 35	 REAL
@ATTRIBUTE 36	 REAL
@ATTRIBUTE 37	 REAL
@ATTRIBUTE 38	 REAL
@ATTRIBUTE 39	 REAL
@ATTRIBUTE 40	 REAL
@ATTRIBUTE 41	 REAL
@ATTRIBUTE 42	 REAL
@ATTRIBUTE 43	 REAL
@ATTRIBUTE 44	 REAL
@ATTRIBUTE 45	 REAL
@ATTRIBUTE 46	 REAL
@ATTRIBUTE class     {NONE,LOW,HIGH}

@DATA
0.120928,0.142857,0.333333,0.000000,0.121547,0.000000,0.000000,0.000000,0.000000,0.000000,0.119815,0.142857,0.333333,0.000000,0.120825,0.153749,0.255319,0.562500,0.142857,0.154007,0.755540,0.566106,0.698192,0.641718,0.245978,0.000000,0.000000,0.000000,0.346474,0.101614,0.360574,0.078050,0.000000,0.000000,0.000000,0.000000,0.760857,0.582674,0.698732,0.651045,0.285714,0.151515,0.000000,0.029236,0.001982,0.008393,LOW	%docid = GX000-52-8600090 inc = 1 prob = 0.0897452
0.156819,0.142857,0.333333,0.000000,0.157459,0.000000,0.000000,0.000000,0.000000,0.000000,0.152993,0.142857,0.333333,0.000000,0.153542,0.128335,0.063830,0.187500,0.190476,0.128240,0.821227,0.566994,0.745119,0.670173,0.642118,0.222894,0.006770,0.131665,0.638798,0.241821,0.363410,0.185574,0.000000,0.000000,0.000000,0.000000,0.823160,0.583374,0.745532,0.679151,0.285714,0.222222,0.000000,0.000237,0.000991,0.000000,LOW	%docid = GX001-00-5105044 inc = 1 prob = 0.0897452
0.218112,0.285714,0.333333,0.000000,0.219337,0.000000,0.000000,0.000000,0.000000,0.000000,0.216254,0.285714,0.333333,0.000000,0.217611,0.217767,0.297872,0.500000,0.142857,0.218064,0.783012,0.554006,0.712058,0.638314,0.391877,0.036784,0.305970,0.051190,0.375081,0.116636,0.361047,0.089577,0.000000,0.000000,0.000000,0.000000,0.786565,0.570912,0.712515,0.647727,0.285714,0.212121,0.000000,0.014392,0.006938,0.001199,LOW	%docid = GX004-53-15843752 inc = 0.0319188697601707 prob = 0.0946039
0.028713,0.428571,0.333333,0.500000,0.030939,0.000000,0.000000,0.000000,0.000000,0.000000,0.029645,0.428571,0.333333,0.500000,0.032583,0.024668,0.510638,0.312500,0.142857,0.025096,0.584996,0.395650,0.504419,0.468435,0.358369,0.061202,0.487980,0.038508,0.498579,0.176608,0.362464,0.135578,0.757522,0.485143,0.023980,0.647934,0.590183,0.416612,0.508599,0.481063,0.285714,0.171717,0.000000,1.000000,0.362735,0.015588,NONE	%docid = GX005-39-6812626 inc = 0.0161139271070161 prob = 0.0897452
0.024296,0.142857,0.333333,1.000000,0.025967,0.000000,0.000000,0.000000,0.000000,0.000000,0.024288,0.142857,0.333333,1.000000,0.026583,0.018930,0.085106,0.062500,0.285714,0.018835,0.797655,0.631080,0.632601,0.745377,0.544656,0.186268,0.006017,0.104341,0.888747,0.382130,0.364357,0.293102,0.970852,0.962490,0.997817,0.928606,0.803126,0.648904,0.639382,0.755609,0.571429,0.424242,0.000000,0.030443,0.000991,0.003597,LOW	%docid = GX005-40-1622912 inc = 0.0428075921199618 prob = 0.304426
0.066262,0.285714,0.333333,0.000000,0.067403,0.000000,0.000000,0.000000,0.000000,0.000000,0.067003,0.285714,0.333333,0.000000,0.068736,0.051200,0.319149,0.312500,0.190476,0.051435,0.752123,0.519954,0.647139,0.552374,0.371587,0.101320,0.305220,0.044638,0.498579,0.176608,0.362464,0.135578,0.000000,0.000000,0.000000,0.000000,0.754681,0.537057,0.647174,0.562360,0.285714,0.161616,0.000000,0.001393,0.012884,0.000000,LOW	%docid = GX010-03-13004888 inc = 1 prob = 0.148318
0.022639,0.000000,0.333333,0.000000,0.022652,0.000000,0.000000,0.000000,0.000000,0.000000,0.022936,0.000000,0.333333,0.000000,0.023507,0.023476,0.042553,0.937500,0.142857,0.023605,0.707999,0.485572,0.562349,0.521462,0.000000,0.000000,0.000000,0.000000,0.237699,0.036503,0.357748,0.028057,0.000000,0.000000,0.000000,0.000000,0.710042,0.501463,0.562049,0.530413,0.142857,0.171717,0.000000,0.003967,0.000991,0.003597,LOW	%docid = GX010-45-12369258 inc = 0.00979721240474588 prob = 0.0897452
0.240751,0.000000,0.000000,0.000000,0.240331,0.000000,0.000000,0.000000,0.000000,0.000000,0.239442,0.000000,0.000000,0.000000,0.239040,0.148358,0.063830,0.187500,0.238095,0.148292,0.815655,0.537579,0.719250,0.603266,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.816600,0.553609,0.718231,0.612070,0.285714,0.363636,0.000000,0.004394,0.001982,0.002398,LOW	%docid = GX010-85-14507192 inc = 1 prob = 0.507507
0.048040,0.285714,0.333333,0.500000,0.049724,0.000000,0.000000,0.000000,0.000000,0.000000,0.043149,0.285714,0.333333,0.500000,0.045429,0.038257,0.319149,0.625000,0.190476,0.038613,0.908228,0.829829,0.826364,0.853673,0.371587,0.147793,0.305220,0.044638,0.321921,0.061231,0.360103,0.067738,0.724564,0.426418,0.021794,0.559706,0.913519,0.839045,0.829912,0.859667,0.428571,0.272727,0.000000,0.000073,0.012884,0.008393,LOW	%docid = GX014-89-4473554 inc = 0.0294030334989924 prob = 0.154121
0.003313,0.285714,0.333333,0.000000,0.004420,0.000000,0.000000,0.000000,0.000000,0.000000,0.003580,0.285714,0.333333,0.000000,0.005311,0.006633,0.148936,0.312500,0.190476,0.006659,0.341369,0.123176,0.235225,0.111092,0.634331,0.159106,0.311227,0.117024,0.498579,0.176608,0.362464,0.135578,0.000000,0.000000,0.000000,0.000000,0.369162,0.169246,0.262354,0.146931,0.142857,0.161616,0.000000,0.176046,0.054509,0.011990,NONE	%docid = GX014-94-6492630 inc = 0.00883817317681539 prob = 0.0634494
0.066262,0.142857,0.333333,0.000000,0.066851,0.000000,0.000000,0.000000,0.000000,0.000000,0.067003,0.142857,0.333333,0.000000,0.068163,0.051200,0.106383,0.312500,0.190476,0.051186,0.752123,0.519954,0.647139,0.552374,0.472882,0.157865,0.005263,0.083147,0.498579,0.176608,0.362464,0.135578,0.000000,0.000000,0.000000,0.000000,0.754945,0.537199,0.647018,0.562377,0.285714,0.141414,0.000000,0.000687,0.000991,0.000000,HIGH	%docid = GX019-16-5501512 inc = 0.0542515970612273 prob = 0.247864
0.009387,0.285714,0.333333,0.500000,0.011050,0.000000,0.000000,0.000000,0.000000,0.000000,0.008971,0.284792,0.333333,0.500000,0.011108,0.004819,0.127660,0.187500,0.238095,0.004796,0.895673,0.817286,0.582164,0.916227,0.832946,1.000000,1.000000,1.000000,0.638798,0.241821,0.363410,0.185574,0.694355,0.373889,0.019609,0.480785,0.910685,0.839736,0.611938,0.929180,0.428571,0.292929,0.000000,0.000522,0.000991,0.002398,LOW	%docid = GX027-23-15133882 inc = 0.0145991143351139 prob = 0.171504
0.001657,0.000000,0.666667,0.000000,0.002210,0.000000,0.000000,0.000000,0.000000,0.000000,0.001866,0.000000,0.666667,0.000000,0.003019,0.000547,0.085106,0.375000,0.428571,0.000646,0.355577,0.271670,0.218739,0.230084,0.000000,0.000000,0.000000,0.000000,0.706914,0.293970,0.557039,0.185574,0.000000,0.000000,0.000000,0.000000,0.378893,0.271148,0.248841,0.227523,0.714286,0.343434,0.000000,0.004621,0.001982,0.004796,NONE	%docid = GX027-36-13492125 inc = 0.0466972172533773 prob = 0.111804
0.013252,0.428571,0.333333,0.500000,0.015470,0.000000,0.000000,0.000000,0.000000,0.000000,0.013501,0.428571,0.333333,0.500000,0.016411,0.009688,0.191489,0.312500,0.380952,0.009865,0.479945,0.239635,0.370790,0.398823,0.715793,0.192593,0.499213,0.131665,0.498579,0.176608,0.362464,0.135578,0.617160,0.243099,0.013063,0.284258,0.490899,0.272522,0.384979,0.417178,0.714286,0.515152,0.000000,0.023895,0.013875,0.027578,NONE	%docid = GX027-95-10409909 inc = 1 prob = 0.0468556
0.011044,0.000000,0.333333,0.500000,0.011602,0.000000,0.000000,0.000000,0.000000,0.000000,0.011578,0.000000,0.333333,0.500000,0.012762,0.002559,0.000000,0.500000,0.238095,0.002510,0.407761,0.153572,0.340242,0.239457,0.000000,0.000000,0.000000,0.000000,0.375081,0.082491,0.361047,0.089577,0.694355,0.268749,0.019609,0.480785,0.414781,0.176355,0.346601,0.251593,0.285714,0.282828,0.000000,0.000000,0.000000,0.022782,NONE	%docid = GX028-78-9499754 inc = 1 prob = 0.183068
0.011044,0.000000,0.000000,0.500000,0.011050,0.000000,0.000000,0.000000,0.000000,0.000000,0.011578,0.000000,0.000000,0.500000,0.012189,0.005962,0.021277,0.125000,0.666667,0.006013,0.398407,0.177232,0.325123,0.186708,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.504896,0.000000,0.000000,0.000000,0.404925,0.203717,0.327649,0.201426,1.000000,0.818182,0.000000,0.000488,0.000991,0.000000,NONE	%docid = GX029-13-7182876 inc = 0.0194535207657402 prob = 0.0998487
0.010491,0.285714,0.333333,0.500000,0.012155,0.000000,0.000000,0.000000,0.000000,0.000000,0.010900,0.285714,0.333333,0.500000,0.013216,0.003552,0.170213,0.125000,0.190476,0.003528,0.661456,0.552547,0.458623,0.605180,0.582819,0.211400,0.310475,0.104341,0.743323,0.293598,0.363883,0.225259,0.724564,0.426418,0.021794,0.559706,0.661587,0.560473,0.471515,0.610792,0.285714,0.424242,0.000000,0.000374,0.001982,0.034772,NONE	%docid = GX031-21-7043973 inc = 1 prob = 0.118376
0.061844,0.000000,0.000000,0.000000,0.061326,0.000000,0.000000,0.000000,0.000000,0.000000,0.055495,0.000000,0.000000,0.000000,0.055419,0.032668,0.212766,0.437500,0.333333,0.032898,0.984471,0.936767,0.912384,0.939700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.985999,0.938123,0.911060,0.940366,0.428571,0.353535,0.000000,0.002019,0.002973,0.008393,LOW	%docid = GX051-39-12620906 inc = 1 prob = 0.309538
0.001104,0.000000,0.333333,0.000000,0.001105,0.000000,0.000000,0.000000,0.000000,0.000000,0.001189,0.000000,0.333333,0.000000,0.001753,0.000944,0.085106,0.250000,0.190476,0.000870,0.594102,0.555180,0.294217,0.627768,0.000000,0.000000,0.000000,0.000000,0.560045,0.205092,0.362937,0.157417,0.000000,0.000000,0.000000,0.000000,0.619519,0.551894,0.323194,0.616874,0.285714,0.202020,0.000000,0.002391,0.000991,0.001199,NONE	%docid = GX052-92-2131681 inc = 1 prob = 0.017532
0.093319,0.000000,1.000000,0.000000,0.094475,0.000000,0.000000,0.000000,0.000000,0.000000,0.092697,0.000000,0.977492,0.000000,0.094292,0.059746,0.000000,0.562500,0.190476,0.059709,0.861251,0.741220,0.804499,0.785255,0.000000,0.000000,0.000000,0.000000,0.896212,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.868647,0.755504,0.808417,0.794465,0.285714,0.111111,0.000000,0.000000,0.000000,0.015588,LOW	%docid = GX056-82-13312051 inc = 0.0758541101093886 prob = 0.410584
0.014357,0.285714,0.666667,0.000000,0.016022,0.000000,0.000000,0.000000,0.000000,0.000000,0.013963,0.247709,0.595190,0.000000,0.015536,0.007254,0.085106,0.250000,0.380952,0.007280,0.871989,0.829096,0.612155,0.888903,0.944415,0.829504,0.279691,0.872457,1.000000,0.911353,0.607685,0.996104,0.000000,0.000000,0.000000,0.000000,0.904443,0.896416,0.657021,0.929521,0.142857,0.333333,0.000000,0.004722,0.011893,0.050360,LOW	%docid = GX061-04-16698930 inc = 0.0114581557096495 prob = 0.156743
0.002209,0.000000,0.333333,0.500000,0.002762,0.000000,0.000000,0.000000,0.000000,0.000000,0.002225,0.000000,0.333333,0.500000,0.003353,0.002310,0.063830,0.187500,0.238095,0.002211,0.663910,0.557573,0.366182,0.586298,0.000000,0.000000,0.000000,0.000000,0.638798,0.241821,0.363410,0.185574,0.694355,0.373889,0.019609,0.480785,0.697335,0.595352,0.403825,0.607843,0.428571,0.262626,0.000000,0.001448,0.000991,0.002398,LOW	%docid = GX073-78-3078433 inc = 0.0542515970612273 prob = 0.10786
0.027057,0.000000,0.333333,0.000000,0.027072,0.000000,0.000000,0.000000,0.000000,0.000000,0.028144,0.000000,0.333333,0.000000,0.028810,0.014409,0.212766,0.125000,0.238095,0.014461,0.405723,0.099981,0.360358,0.185926,0.000000,0.000000,0.000000,0.000000,0.743323,0.293598,0.363883,0.225259,0.000000,0.000000,0.000000,0.000000,0.412221,0.132756,0.361066,0.202106,0.428571,0.282828,0.000000,0.114528,0.035679,0.041966,NONE	%docid = GX079-44-9516687 inc = 0.0319188697601707 prob = 0.132085
0.064053,0.142857,0.333333,0.000000,0.064641,0.000000,0.000000,0.000000,0.000000,0.000000,0.062271,0.142857,0.333333,0.000000,0.063338,0.047573,0.170213,0.687500,0.142857,0.047757,0.886908,0.770469,0.803699,0.807213,0.338901,0.098065,0.003006,0.038508,0.300618,0.051647,0.359631,0.058411,0.000000,0.000000,0.000000,0.000000,0.890412,0.779972,0.804408,0.812846,0.285714,0.181818,0.000000,0.000274,0.002973,0.001199,LOW	%docid = GX084-26-8567548 inc = 1 prob = 0.233455
0.023192,1.000000,1.000000,0.500000,0.028729,0.000000,0.000000,0.000000,0.000000,0.000000,0.023784,1.000000,1.000000,0.500000,0.030167,0.023724,1.000000,1.000000,0.190476,0.025022,0.443672,0.193073,0.364518,0.323854,0.419054,0.066732,0.880187,0.055148,0.532494,0.214640,0.672032,0.129261,0.724564,0.426418,0.021794,0.559706,0.455786,0.225060,0.379114,0.345518,0.428571,0.252525,0.000000,0.005782,0.057483,0.017986,NONE	%docid = GX099-32-1803703 inc = 1 prob = 0.0705054
0.011596,0.142857,0.333333,0.500000,0.012707,0.000000,0.000000,0.000000,0.000000,0.000000,0.011830,0.142857,0.333333,0.500000,0.013550,0.004844,0.021277,0.562500,0.095238,0.004771,0.761981,0.650112,0.529559,0.635370,1.000000,0.362813,0.008279,0.236012,0.346474,0.101614,0.360574,0.078050,0.793621,0.551724,0.026166,0.747958,0.762265,0.657431,0.538972,0.642763,0.142857,0.212121,0.000000,0.029030,0.009911,0.002398,LOW	%docid = GX103-50-10444844 inc = 1 prob = 0.28717
0.494202,0.714286,0.666667,1.000000,0.498895,0.000000,0.000000,0.000000,0.000000,0.000000,0.483173,0.714286,0.666667,1.000000,0.486788,0.563894,0.553191,0.500000,0.238095,0.564617,0.790547,0.576698,0.733129,0.647309,0.505542,0.178675,0.731622,0.079422,0.611722,0.269695,0.556094,0.157417,1.000000,1.000000,1.000000,1.000000,0.794589,0.593835,0.734465,0.657133,0.428571,0.262626,0.000000,0.002028,0.022795,0.002398,LOW	%docid = GX111-60-4484292 inc = 0.0428075921199618 prob = 0.155836
0.000552,0.000000,0.333333,0.000000,0.000552,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261857,0.000000,0.000210,0.000795,0.085106,0.250000,0.190476,0.000721,0.001024,0.032610,0.000706,0.010474,0.000000,0.000000,0.000000,0.000000,0.439955,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015343,0.058914,0.022839,0.030877,0.285714,0.202020,0.000000,0.004836,0.001982,0.004796,NONE	%docid = GX114-73-1685410 inc = 0.0242668764432379 prob = 0.0580908
0.854224,0.428571,0.333333,0.500000,0.856906,0.000000,0.000000,0.000000,0.000000,0.000000,0.880316,0.428571,0.333333,0.500000,0.886060,0.302355,0.404255,0.500000,0.238095,0.302845,0.505326,0.447067,0.608264,0.555844,0.429929,0.203420,0.491715,0.060696,0.375081,0.116636,0.361047,0.089577,0.694355,0.373889,0.019609,0.480785,0.514007,0.467119,0.608736,0.566479,0.285714,0.252525,0.000000,0.000828,0.006938,1.000000,NONE	%docid = GX177-38-4045618 inc = 1 prob = 0.277865
0.001657,0.000000,0.000000,0.000000,0.001105,0.000000,0.000000,0.000000,0.000000,0.000000,0.001866,0.000000,0.000000,0.000000,0.001872,0.002559,0.063830,0.312500,1.000000,0.002907,0.332254,0.188590,0.209330,0.135379,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.329689,0.180138,0.206668,0.135998,0.571429,1.000000,0.000000,0.004884,0.000991,0.000000,LOW	%docid = GX200-47-9277809 inc = 0.00620068385720559 prob = 0.0883078
0.014357,0.285714,0.666667,0.000000,0.016022,0.000000,0.000000,0.000000,0.000000,0.000000,0.013963,0.247709,0.595190,0.000000,0.015536,0.007254,0.085106,0.250000,0.428571,0.007305,0.871989,0.829096,0.612155,0.888903,0.944415,0.829504,0.279691,0.872457,1.000000,0.911353,0.607685,0.996104,0.000000,0.000000,0.000000,0.000000,0.904109,0.895733,0.656918,0.928934,0.142857,0.333333,0.000000,0.002301,0.011893,0.039568,LOW	%docid = GX200-73-5240168 inc = 0.0119202192037752 prob = 0.160075
0.000552,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000944,0.085106,0.187500,0.190476,0.000845,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.285714,0.202020,0.000000,0.004592,0.001982,0.004796,NONE	%docid = GX225-70-7851415 inc = 0.0145991143351139 prob = 0.061808
0.014357,0.000000,0.000000,0.500000,0.014365,0.000000,0.000000,0.000000,0.000000,0.000000,0.013687,0.000000,0.000000,0.500000,0.014188,0.007999,0.042553,0.000000,0.285714,0.007827,0.901174,0.784361,0.641522,0.880451,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.666563,0.326374,0.017426,0.409392,0.901860,0.791262,0.644892,0.882370,0.142857,0.363636,0.000000,0.000521,0.001982,0.000000,LOW	%docid = GX228-98-0000000 inc = 1 prob = 0.185492
0.676974,0.000000,0.000000,0.000000,0.676796,0.000000,0.000000,0.000000,0.000000,0.000000,0.670684,0.000000,0.000000,0.000000,0.669879,0.949670,0.148936,0.000000,0.190476,0.949783,0.739282,0.536962,0.695975,0.614707,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.744976,0.554659,0.696634,0.624503,0.428571,0.151515,0.000000,0.000979,0.000991,0.000000,LOW	%docid = GX229-72-10022550 inc = 0.0542515970612273 prob = 0.127185
0.014909,0.714286,1.000000,0.500000,0.019337,0.000000,0.000000,0.000000,0.000000,0.000000,0.014321,0.638276,0.928523,0.500000,0.018373,0.012421,0.255319,0.437500,0.285714,0.012672,0.852937,0.752236,0.626040,0.817444,0.919641,0.926654,0.946930,0.833960,0.977053,0.936192,0.801315,0.954413,0.666563,0.326374,0.017426,0.409392,0.906534,0.854671,0.697526,0.884908,0.428571,0.353535,0.000000,0.022746,0.013875,0.002398,LOW	%docid = GX230-44-5924225 inc = 1 prob = 0.228966
